"Referentiecode";"Referentienummer";"Omschrijving";"D/C";"Niveau";"ReferentieOmslagcode";"Wijziging"
"BEivFirOpwVal";"0510030.05";"Valutaomrekeningsverschillen opwaarderingsreserve";"C";5;;
"BEivFirOpwOvm";"0510030.06";"Overige mutaties opwaarderingsreserve";"C";5;;
"BEivFirRae";"0510040";"Reserve assurantie eigen risico";"C";4;;
"BEivFirRaeBeg";"0510040.01";"Beginbalans reserve assurantie eigen risico";"C";5;;
"BEivFirRaeDot";"0510040.02";"Dotatie reserve assurantie eigen risico";"C";5;;
"BEivFirRaeAtg";"0510040.03";"Afname ten gunste van het resultaat reserve assurantie eigen risico";"D";5;;
"BEivFirRaeKtl";"0510040.04";"Kosten ten laste van reserve reserve assurantie eigen risico";"D";5;;
"BEivFirRaeOve";"0510040.05";"Overboekingen reserve assurantie eigen risico";"C";5;;
"BEivFirRaeVal";"0510040.06";"Valutaomrekeningsverschillen reserve assurantie eigen risico";"C";5;;
"BEivFirRaeOvm";"0510040.07";"Overige mutaties reserve assurantie eigen risico";"C";5;;
"BEivFirKeg";"0510050";"Kostenegalisatiereserve";"C";4;;
"BEivFirKegBeg";"0510050.01";"Beginbalans kostenegalisatiereserve";"C";5;;
"BEivFirKegDot";"0510050.02";"Dotatie kostenegalisatiereserve";"C";5;;
"BEivFirKegAtg";"0510050.03";"Afname ten gunste van het resultaat kostenegalisatiereserve";"D";5;;
"BEivFirKegKtl";"0510050.04";"Kosten ten laste van reserve kostenegalisatiereserve";"D";5;;
"BEivFirKegOve";"0510050.05";"Overboekingen kostenegalisatiereserve";"C";5;;
"BEivFirKegVal";"0510050.06";"Valutaomrekeningsverschillen kostenegalisatiereserve";"C";5;;
"BEivFirKegOvm";"0510050.07";"Overige mutaties kostenegalisatiereserve";"C";5;;
"BEivFirExp";"0510060";"Exportreserve";"C";4;;
"BEivFirExpBeg";"0510060.01";"Beginbalans exportreserve";"C";5;;
"BEivFirExpDot";"0510060.02";"Dotatie exportreserve";"C";5;;
"BEivFirExpAtg";"0510060.03";"Afname ten gunste van het resultaat exportreserve";"D";5;;
"BEivFirExpKtl";"0510060.04";"Kosten ten laste van reserve exportreserve";"D";5;;
"BEivFirExpOve";"0510060.05";"Overboekingen exportreserve";"C";5;;
"BEivFirExpVal";"0510060.06";"Valutaomrekeningsverschillen exportreserve";"C";5;;
"BEivFirExpOvm";"0510060.07";"Overige mutaties exportreserve";"C";5;;
"BEivFirRis";"0510070";"Risicoreserve";"C";4;;
"BEivFirRisBeg";"0510070.01";"Beginbalans risicoreserve";"C";5;;
"BEivFirRisDot";"0510070.02";"Dotatie risicoreserve";"C";5;;
"BEivFirRisAtg";"0510070.03";"Afname ten gunste van het resultaat risicoreserve";"D";5;;
"BEivFirRisKtl";"0510070.04";"Kosten ten laste van reserve risicoreserve";"D";5;;
"BEivFirRisOve";"0510070.05";"Overboekingen risicoreserve";"C";5;;
"BEivFirRisVal";"0510070.06";"Valutaomrekeningsverschillen risicoreserve";"C";5;;
"BEivFirRisOvm";"0510070.07";"Overige mutaties risicoreserve";"C";5;;
"BEivFirTer";"0510080";"Terugkeerreserve";"C";4;;
"BEivFirTerBeg";"0510080.01";"Beginbalans terugkeerreserve";"C";5;;
"BEivFirTerDot";"0510080.02";"Dotatie terugkeerreserve";"C";5;;
"BEivFirTerAaw";"0510080.03";"Aanwending terugkeerreserve";"D";5;;
"BEivFirTerVri";"0510080.04";"Vrijval terugkeerreserve";"D";5;;
"BEivFirTerOve";"0510080.05";"Overboekingen terugkeerreserve";"C";5;;
"BEivFirTerVal";"0510080.06";"Valutaomrekeningsverschillen terugkeerreserve";"C";5;;
"BEivFirTerOvm";"0510080.07";"Overige mutaties terugkeerreserve";"C";5;;
"BEivFirOfr";"0510090";"Overige fiscale reserves";"C";4;;
"BEivFirOfrBeg";"0510090.01";"Beginbalans overige fiscale reserves";"C";5;;
"BEivFirOfrDot";"0510090.02";"Dotatie overige fiscale reserves";"C";5;;
"BEivFirOfrAaw";"0510090.03";"Aanwending overige fiscale reserves";"D";5;;
"BEivFirOfrVri";"0510090.04";"Vrijval overige fiscale reserves";"D";5;;
"BEivFirOfrOve";"0510090.05";"Overboekingen overige fiscale reserves";"C";5;;
"BEivFirOfrVal";"0510090.06";"Valutaomrekeningsverschillen overige fiscale reserves";"C";5;;
"BEivFirOfrOvm";"0510090.07";"Overige mutaties overige fiscale reserves";"C";5;;
"BVrz";;"VOORZIENINGEN";"C";2;;
"BVrzVvp";"0701000";"Voorziening voor pensioenen";"C";3;;
"BVrzVvpVpd";"0701010";"Voorziening voor pensioenen directie in eigen beheer";"C";4;;
"BVrzVvpVpdBeg";"0701010.01";"Beginbalans voorziening voor pensioenen directie in eigen beheer";"C";5;;
"BVrzVvpVpdToe";"0701010.02";"Toename voorziening voor pensioenen directie in eigen beheer";"C";5;;
"BVrzVvpVpdOnt";"0701010.03";"Onttrekking voorziening voor pensioenen directie in eigen beheer";"D";5;;
"BVrzVvpVpdVri";"0701010.04";"Vrijval voorziening voor pensioenen directie in eigen beheer";"D";5;;
"BVrzVvpVpdOmv";"0701010.05";"Omrekeningsverschillen voorziening voor pensioenen directie in eigen beheer";"C";5;;
"BVrzVvpVpdOev";"0701010.06";"Oprenting en/of verandering disconteringsvoet voorziening voor pensioenen directie in eigen beheer";"C";5;;
"BVrzVvpVpdOvm";"0701010.07";"Overige mutaties voorziening voor pensioenen directie in eigen beheer";"C";5;;
"BVrzVvpBac";"0701020";"Backserviceverplichting";"C";4;;
"BVrzVvpBacBeg";"0701020.01";"Beginbalans backserviceverplichting";"C";5;;
"BVrzVvpBacToe";"0701020.02";"Toename backserviceverplichting";"C";5;;
"BVrzVvpBacOnt";"0701020.03";"Onttrekking backserviceverplichting";"D";5;;
"BVrzVvpBacVri";"0701020.04";"Vrijval backserviceverplichting";"D";5;;
"BVrzVvpBacOmv";"0701020.05";"Omrekeningsverschillen backserviceverplichting";"C";5;;
"BVrzVvpBacOev";"0701020.06";"Oprenting en/of verandering disconteringsvoet backserviceverplichting";"C";5;;
"BVrzVvpBacOvm";"0701020.07";"Overige mutaties backserviceverplichting";"C";5;;
"BVrzVvb";"0702000";"Voorziening voor belastingen";"C";3;;
"BVrzVvbVlb";"0702010";"Voorziening voor latente belastingverplichtingen";"C";4;;
"BVrzVvbVlbBeg";"0702010.01";"Beginbalans voorziening voor latente belastingverplichtingen";"C";5;;
"BVrzVvbVlbToe";"0702010.02";"Toename voorziening voor latente belastingverplichtingen";"C";5;;
"BVrzVvbVlbOnt";"0702010.03";"Onttrekking voorziening voor latente belastingverplichtingen";"D";5;;
"BVrzVvbVlbVri";"0702010.04";"Vrijval voorziening voor latente belastingverplichtingen";"D";5;;
"BVrzVvbVlbOmv";"0702010.05";"Omrekeningsverschillen voorziening voor latente belastingverplichtingen";"C";5;;
"BVrzVvbVlbOev";"0702010.06";"Oprenting en/of verandering disconteringsvoet voorziening voor latente belastingverplichtingen";"C";5;;
"BVrzVvbVlbOvm";"0702010.07";"Overige mutaties voorziening voor latente belastingverplichtingen";"C";5;;
"BVrzVgo";"0703000";"Voorziening groot onderhoud";"C";3;;
"BVrzVgoVvg";"0703010";"Voorziening voor groot onderhoud gebouwen";"C";4;;
"BVrzVgoVvgBeg";"0703010.01";"Beginbalans voorziening voor groot onderhoud gebouwen";"C";5;;
"BVrzVgoVvgToe";"0703010.02";"Toename voorziening voor groot onderhoud gebouwen";"C";5;;
"BVrzVgoVvgOnt";"0703010.03";"Onttrekking voorziening voor groot onderhoud gebouwen";"D";5;;
"BVrzVgoVvgVri";"0703010.04";"Vrijval voorziening voor groot onderhoud gebouwen";"D";5;;
"BVrzVgoVvgOmv";"0703010.05";"Omrekeningsverschillen voorziening voor groot onderhoud gebouwen";"C";5;;
"BVrzVgoVvgOev";"0703010.06";"Oprenting en/of verandering disconteringsvoet voorziening voor groot onderhoud gebouwen";"C";5;;
"BVrzVgoVvgOvm";"0703010.07";"Overige mutaties voorziening voor groot onderhoud gebouwen";"C";5;;
"BVrzVgoVgm";"0703020";"Voorziening voor groot onderhoud machines en installaties";"C";4;;
"BVrzVgoVgmBeg";"0703020.01";"Beginbalans voorziening voor groot onderhoud machines en installaties";"C";5;;
"BVrzVgoVgmToe";"0703020.02";"Toename voorziening voor groot onderhoud machines en installaties";"C";5;;
"BVrzVgoVgmOnt";"0703020.03";"Onttrekking voorziening voor groot onderhoud machines en installaties";"D";5;;
"BVrzVgoVgmVri";"0703020.04";"Vrijval voorziening voor groot onderhoud machines en installaties";"D";5;;
"BVrzVgoVgmOmv";"0703020.05";"Omrekeningsverschillen voorziening voor groot onderhoud machines en installaties";"C";5;;
"BVrzVgoVgmOev";"0703020.06";"Oprenting en/of verandering disconteringsvoet voorziening voor groot onderhoud machines en installaties";"C";5;;
"BVrzVgoVgmOvm";"0703020.07";"Overige mutaties voorziening voor groot onderhoud machines en installaties";"C";5;;
"BVrzVgoVgt";"0703030";"Voorziening voor groot onderhoud transport- en vervoermiddelen";"C";4;;
"BVrzVgoVgtBeg";"0703030.01";"Beginbalans voorziening voor groot onderhoud transport- en vervoermiddelen";"C";5;;
"BVrzVgoVgtToe";"0703030.02";"Toename voorziening voor groot onderhoud transport- en vervoermiddelen";"C";5;;
"BVrzVgoVgtOnt";"0703030.03";"Onttrekking voorziening voor groot onderhoud transport- en vervoermiddelen";"D";5;;
"BVrzVgoVgtVri";"0703030.04";"Vrijval voorziening voor groot onderhoud transport- en vervoermiddelen";"D";5;;
"BVrzVgoVgtOmv";"0703030.05";"Omrekeningsverschillen voorziening voor groot onderhoud transport- en vervoermiddelen";"C";5;;
"BVrzVgoVgtOev";"0703030.06";"Oprenting en/of verandering disconteringsvoet voorziening voor groot onderhoud transport- en vervoermiddelen";"C";5;;
"BVrzVgoVgtOvm";"0703030.07";"Overige mutaties voorziening voor groot onderhoud transport- en vervoermiddelen";"C";5;;
"BVrzVgoVgi";"0703040";"Voorziening voor groot onderhoud inventaris";"C";4;;
"BVrzVgoVgiBeg";"0703040.01";"Beginbalans voorziening voor groot onderhoud inventaris";"C";5;;
"BVrzVgoVgiToe";"0703040.02";"Toename voorziening voor groot onderhoud inventaris";"C";5;;
"BVrzVgoVgiOnt";"0703040.03";"Onttrekking voorziening voor groot onderhoud inventaris";"D";5;;
"BVrzVgoVgiVri";"0703040.04";"Vrijval voorziening voor groot onderhoud inventaris";"D";5;;
"BVrzVgoVgiOmv";"0703040.05";"Omrekeningsverschillen voorziening voor groot onderhoud inventaris";"C";5;;
"BVrzVgoVgiOev";"0703040.06";"Oprenting en/of verandering disconteringsvoet voorziening voor groot onderhoud inventaris";"C";5;;
"BVrzVgoVgiOvm";"0703040.07";"Overige mutaties voorziening voor groot onderhoud inventaris";"C";5;;
"BVrzOvz";"0704000";"Overige voorzieningen";"C";3;;
"BVrzOvzGar";"0704010";"Garantievoorziening";"C";4;;
"BVrzOvzGarBeg";"0704010.01";"Beginbalans garantievoorziening";"C";5;;
"BVrzOvzGarToe";"0704010.02";"Toename garantievoorziening";"C";5;;
"BVrzOvzGarOnt";"0704010.03";"Onttrekking garantievoorziening";"D";5;;
"BVrzOvzGarVri";"0704010.04";"Vrijval garantievoorziening";"D";5;;
"BVrzOvzGarOmv";"0704010.05";"Omrekeningsverschillen garantievoorziening";"C";5;;
"BVrzOvzGarOev";"0704010.06";"Oprenting en/of verandering disconteringsvoet garantievoorziening";"C";5;;
"BVrzOvzGarOvm";"0704010.07";"Overige mutaties garantievoorziening";"C";5;;
"BVrzOvzVhe";"0704020";"Voorziening voor herstelkosten";"C";4;;
"BVrzOvzVheBeg";"0704020.01";"Beginbalans voorziening voor herstelkosten";"C";5;;
"BVrzOvzVheToe";"0704020.02";"Toename voorziening voor herstelkosten";"C";5;;
"BVrzOvzVheOnt";"0704020.03";"Onttrekking voorziening voor herstelkosten";"D";5;;
"BVrzOvzVheVri";"0704020.04";"Vrijval voorziening voor herstelkosten";"D";5;;
"BVrzOvzVheOmv";"0704020.05";"Omrekeningsverschillen voorziening voor herstelkosten";"C";5;;
"BVrzOvzVheOev";"0704020.06";"Oprenting en/of verandering disconteringsvoet voorziening voor herstelkosten";"C";5;;
"BVrzOvzVheOvm";"0704020.07";"Overige mutaties voorziening voor herstelkosten";"C";5;;
"BVrzOvzVvo";"0704030";"Voorziening voor opruiming van aanwezige milieuvervuiling";"C";4;;
"BVrzOvzVvoBeg";"0704030.01";"Beginbalans voorziening voor opruiming van aanwezige milieuvervuiling";"C";5;;
"BVrzOvzVvoToe";"0704030.02";"Toename voorziening voor opruiming van aanwezige milieuvervuiling";"C";5;;
"BVrzOvzVvoOnt";"0704030.03";"Onttrekking voorziening voor opruiming van aanwezige milieuvervuiling";"D";5;;
"BVrzOvzVvoVri";"0704030.04";"Vrijval voorziening voor opruiming van aanwezige milieuvervuiling";"D";5;;
"BVrzOvzVvoOmv";"0704030.05";"Omrekeningsverschillen voorziening voor opruiming van aanwezige milieuvervuiling";"C";5;;
"BVrzOvzVvoOev";"0704030.06";"Oprenting en/of verandering disconteringsvoet voorziening voor opruiming van aanwezige milieuvervuiling";"C";5;;
"BVrzOvzVvoOvm";"0704030.07";"Overige mutaties voorziening voor opruiming van aanwezige milieuvervuiling";"C";5;;
"BVrzOvzVuc";"0704040";"Voorziening uit hoofde van claims, geschillen en rechtsgedingen";"C";4;;
"BVrzOvzVucBeg";"0704040.01";"Beginbalans voorziening uit hoofde van claims, geschillen en rechtsgedingen";"C";5;;
"BVrzOvzVucToe";"0704040.02";"Toename voorziening uit hoofde van claims, geschillen en rechtsgedingen";"C";5;;
"BVrzOvzVucOnt";"0704040.03";"Onttrekking voorziening uit hoofde van claims, geschillen en rechtsgedingen";"D";5;;
"BVrzOvzVucVri";"0704040.04";"Vrijval voorziening uit hoofde van claims, geschillen en rechtsgedingen";"D";5;;
"BVrzOvzVucOmv";"0704040.05";"Omrekeningsverschillen voorziening uit hoofde van claims, geschillen en rechtsgedingen";"C";5;;
"BVrzOvzVucOev";"0704040.06";"Oprenting en/of verandering disconteringsvoet voorziening uit hoofde van claims, geschillen en rechtsgedingen";"C";5;;
"BVrzOvzVucOvm";"0704040.07";"Overige mutaties voorziening uit hoofde van claims, geschillen en rechtsgedingen";"C";5;;
"BVrzOvzVwp";"0704050";"Voorziening voor verwijderingsverplichtingen";"C";4;;
"BVrzOvzVwpBeg";"0704050.01";"Beginbalans voorziening voor verwijderingsverplichtingen";"C";5;;
"BVrzOvzVwpToe";"0704050.02";"Toename voorziening voor verwijderingsverplichtingen";"C";5;;
"BVrzOvzVwpOnt";"0704050.03";"Onttrekking voorziening voor verwijderingsverplichtingen";"D";5;;
"BVrzOvzVwpVri";"0704050.04";"Vrijval voorziening voor verwijderingsverplichtingen";"D";5;;
"BVrzOvzVwpOmv";"0704050.05";"Omrekeningsverschillen voorziening voor verwijderingsverplichtingen";"C";5;;
"BVrzOvzVwpOev";"0704050.06";"Oprenting en/of verandering disconteringsvoet voorziening voor verwijderingsverplichtingen";"C";5;;
"BVrzOvzVwpOvm";"0704050.07";"Overige mutaties voorziening voor verwijderingsverplichtingen";"C";5;;
"BVrzOvzVlc";"0704060";"Voorziening voor verlieslatende contracten";"C";4;;
"BVrzOvzVlcBeg";"0704060.01";"Beginbalans voorziening voor verlieslatende contracten";"C";5;;
"BVrzOvzVlcToe";"0704060.02";"Toename voorziening voor verlieslatende contracten";"C";5;;
"BVrzOvzVlcOnt";"0704060.03";"Onttrekking voorziening voor verlieslatende contracten";"D";5;;
"BVrzOvzVlcVri";"0704060.04";"Vrijval voorziening voor verlieslatende contracten";"D";5;;
"BVrzOvzVlcOmv";"0704060.05";"Omrekeningsverschillen voorziening voor verlieslatende contracten";"C";5;;
"BVrzOvzVlcOev";"0704060.06";"Oprenting en/of verandering disconteringsvoet voorziening voor verlieslatende contracten";"C";5;;
"BVrzOvzVlcOvm";"0704060.07";"Overige mutaties voorziening voor verlieslatende contracten";"C";5;;
"BVrzOvzVir";"0704070";"Voorziening in verband met reorganisaties";"C";4;;
"BVrzOvzVirBeg";"0704070.01";"Beginbalans voorziening in verband met reorganisaties";"C";5;;
"BVrzOvzVirToe";"0704070.02";"Toename voorziening in verband met reorganisaties";"C";5;;
"BVrzOvzVirOnt";"0704070.03";"Onttrekking voorziening in verband met reorganisaties";"D";5;;
"BVrzOvzVirVri";"0704070.04";"Vrijval voorziening in verband met reorganisaties";"D";5;;
"BVrzOvzVirOmv";"0704070.05";"Omrekeningsverschillen voorziening in verband met reorganisaties";"C";5;;
"BVrzOvzVirOev";"0704070.06";"Oprenting en/of verandering disconteringsvoet voorziening in verband met reorganisaties";"C";5;;
"BVrzOvzVirOvm";"0704070.07";"Overige mutaties voorziening in verband met reorganisaties";"C";5;;
"BVrzOvzVid";"0704080";"Voorziening in verband met deelnemingen";"C";4;;
"BVrzOvzVidBeg";"0704080.01";"Beginbalans voorziening in verband met deelnemingen";"C";5;;
"BVrzOvzVidToe";"0704080.02";"Toename voorziening in verband met deelnemingen";"C";5;;
"BVrzOvzVidOnt";"0704080.03";"Onttrekking voorziening in verband met deelnemingen";"D";5;;
"BVrzOvzVidVri";"0704080.04";"Vrijval voorziening in verband met deelnemingen";"D";5;;
"BVrzOvzVidOmv";"0704080.05";"Omrekeningsverschillen voorziening in verband met deelnemingen";"C";5;;
"BVrzOvzVidOev";"0704080.06";"Oprenting en/of verandering disconteringsvoet voorziening in verband met deelnemingen";"C";5;;
"BVrzOvzVidOvm";"0704080.07";"Overige mutaties voorziening in verband met deelnemingen";"C";5;;
"BVrzOvzJub";"0704090";"Jubileumvoorziening";"C";4;;
"BVrzOvzJubBeg";"0704090.01";"Beginbalans jubileumvoorziening";"C";5;;
"BVrzOvzJubToe";"0704090.02";"Toename jubileumvoorziening";"C";5;;
"BVrzOvzJubOnt";"0704090.03";"Onttrekking jubileumvoorziening";"D";5;;
"BVrzOvzJubVri";"0704090.04";"Vrijval jubileumvoorziening";"D";5;;
"BVrzOvzJubOmv";"0704090.05";"Omrekeningsverschillen jubileumvoorziening";"C";5;;
"BVrzOvzJubOev";"0704090.06";"Oprenting en/of verandering disconteringsvoet jubileumvoorziening";"C";5;;
"BVrzOvzJubOvm";"0704090.07";"Overige mutaties jubileumvoorziening";"C";5;;
"BVrzOvzArb";"0704100";"Arbeidsongeschiktheidsvoorziening";"C";4;;
"BVrzOvzArbBeg";"0704100.01";"Beginbalans arbeidsongeschiktheidsvoorziening";"C";5;;
"BVrzOvzArbToe";"0704100.02";"Toename arbeidsongeschiktheidsvoorziening";"C";5;;
"BVrzOvzArbOnt";"0704100.03";"Onttrekking arbeidsongeschiktheidsvoorziening";"D";5;;
"BVrzOvzArbVri";"0704100.04";"Vrijval arbeidsongeschiktheidsvoorziening";"D";5;;
"BVrzOvzArbOmv";"0704100.05";"Omrekeningsverschillen arbeidsongeschiktheidsvoorziening";"C";5;;
"BVrzOvzArbOev";"0704100.06";"Oprenting en/of verandering disconteringsvoet arbeidsongeschiktheidsvoorziening";"C";5;;
"BVrzOvzArbOvm";"0704100.07";"Overige mutaties arbeidsongeschiktheidsvoorziening";"C";5;;
"BVrzOvzLij";"0704110";"Lijfrenteverplichting";"C";4;;
"BVrzOvzLijBeg";"0704110.01";"Beginbalans lijfrenteverplichting";"C";5;;
"BVrzOvzLijToe";"0704110.02";"Toename lijfrenteverplichting";"C";5;;
"BVrzOvzLijOnt";"0704110.03";"Onttrekking lijfrenteverplichting";"D";5;;
"BVrzOvzLijVri";"0704110.04";"Vrijval lijfrenteverplichting";"D";5;;
"BVrzOvzLijOmv";"0704110.05";"Omrekeningsverschillen lijfrenteverplichting";"C";5;;
"BVrzOvzLijOev";"0704110.06";"Oprenting en/of verandering disconteringsvoet lijfrenteverplichting";"C";5;;
"BVrzOvzLijOvm";"0704110.07";"Overige mutaties lijfrenteverplichting";"C";5;;
"BVrzOvzOvz";"0704120";"Overige voorzieningen operationeel";"C";4;;
"BVrzOvzOvzBeg";"0704120.01";"Beginbalans overige voorzieningen operationeel";"C";5;;
"BVrzOvzOvzToe";"0704120.02";"Toename overige voorzieningen operationeel";"C";5;;
"BVrzOvzOvzOnt";"0704120.03";"Onttrekking overige voorzieningen operationeel";"D";5;;
"BVrzOvzOvzVri";"0704120.04";"Vrijval overige voorzieningen operationeel";"D";5;;
"BVrzOvzOvzOmv";"0704120.05";"Omrekeningsverschillen overige voorzieningen operationeel";"C";5;;
"BVrzOvzOvzOev";"0704120.06";"Oprenting en/of verandering disconteringsvoet overige voorzieningen operationeel";"C";5;;
"BVrzOvzOvzOvm";"0704120.07";"Overige mutaties overige voorzieningen operationeel";"C";5;;
"BVrzOvzOvn";"0704130";"Overige voorzieningen niet operationeel";"C";4;;
"BVrzOvzOvnBeg";"0704130.01";"Beginbalans overige voorzieningen niet operationeel";"C";5;;
"BVrzOvzOvnToe";"0704130.02";"Toename overige voorzieningen niet operationeel";"C";5;;
"BVrzOvzOvnOnt";"0704130.03";"Onttrekking overige voorzieningen niet operationeel";"D";5;;
"BVrzOvzOvnVri";"0704130.04";"Vrijval overige voorzieningen niet operationeel";"D";5;;
"BVrzOvzOvnOmv";"0704130.05";"Omrekeningsverschillen overige voorzieningen niet operationeel";"C";5;;
"BVrzOvzOvnOev";"0704130.06";"Oprenting en/of verandering disconteringsvoet overige voorzieningen niet operationeel";"C";5;;
"BVrzOvzOvnOvm";"0704130.07";"Overige mutaties overige voorzieningen niet operationeel";"C";5;;
"BVrzNeg";"0705000";"Negatieve goodwill";"C";3;;
"BVrzNegBwn";"0705010";"Bruto waarde negatieve goodwill";"C";4;;
"BVrzNegBwnBeg";"0705010.01";"Beginbalans bruto waarde negatieve goodwill";"C";5;;
"BVrzNegBwnAog";"0705010.02";"Aanvullend opgenomen gedurende de periode bruto waarde negatieve goodwill";"C";5;;
"BVrzNegBwnAlg";"0705010.03";"Aanpassing als gevolg van later geïdentificeerde activa en passiva bruto waarde negatieve goodwill";"C";5;;
"BVrzNegBwnAag";"0705010.04";"Afboeking als gevolg van afstoting bruto waarde negatieve goodwill";"D";5;;
"BVrzNegBwnVtg";"0705010.05";"Vrijval ten gunste van winst-en-verliesrekening bruto waarde negatieve goodwill";"D";5;;
"BVrzNegBwnVwg";"0705010.06";"Vrijval ten gunste van winst-en-verliesrekening, geen betrekking op toekomstige resultaten bruto waarde negatieve goodwill";"D";5;;
"BVrzNegBwnOvm";"0705010.07";"Overige mutaties bruto waarde negatieve goodwill";"C";5;;
"BVrzNegCtg";"0705020";"Cumulatief ten gunste van winst-en-verliesrekening gebrachte negatieve goodwill";"C";4;;
"BVrzNegCtgBeg";"0705020.01";"Beginbalans cumulatief ten gunste van winst-en-verliesrekening gebrachte negatieve goodwill";"C";5;;
"BVrzNegCtgAog";"0705020.02";"Aanvullend opgenomen gedurende de periode cumulatief ten gunste van winst-en-verliesrekening gebrachte negatieve goodwill";"C";5;;
"BVrzNegCtgAlg";"0705020.03";"Aanpassing als gevolg van later geïdentificeerde activa en passiva cumulatief ten gunste van winst-en-verliesrekening gebrachte negatieve goodwill";"C";5;;
"BVrzNegCtgAag";"0705020.04";"Afboeking als gevolg van afstoting cumulatief ten gunste van winst-en-verliesrekening gebrachte negatieve goodwill";"D";5;;
"BVrzNegCtgVtg";"0705020.05";"Vrijval ten gunste van winst-en-verliesrekening cumulatief ten gunste van winst-en-verliesrekening gebrachte negatieve goodwill";"D";5;;
"BVrzNegCtgVwg";"0705020.06";"Vrijval ten gunste van winst-en-verliesrekening, geen betrekking op toekomstige resultaten cumulatief ten gunste van winst-en-verliesrekening gebrachte negatieve goodwill";"D";5;;
"BVrzNegCtgOvm";"0705020.07";"Overige mutaties cumulatief ten gunste van winst-en-verliesrekening gebrachte negatieve goodwill";"C";5;;
"BLas";;"LANGLOPENDE SCHULDEN";"C";2;;
"BLasAcl";"0801000";"Achtergestelde leningen";"C";3;;
"BLasAclAll";"0801010";"Achtergestelde leningen (langlopend)";"C";4;;
"BLasAclAllBeg";"0801010.01";"Beginbalans achtergestelde leningen (langlopend)";"C";5;;
"BLasAclAllHoo";"0801010.02";"Hoofdsom achtergestelde leningen (langlopend)";"C";5;;
"BLasAclAllToe";"0801010.03";"Toename achtergestelde leningen (langlopend)";"C";5;;
"BLasAclAllAfl";"0801010.04";"Aflossingen achtergestelde leningen (langlopend)";"D";5;;
"BLasAclAllAvp";"0801010.05";"Aflossingsverplichtingen achtergestelde leningen (langlopend)";"C";5;;
"BLasAclAllOmv";"0801010.06";"Omrekeningsverschillen achtergestelde leningen (langlopend)";"C";5;;
"BLasAclAllOvm";"0801010.07";"Overige mutaties achtergestelde leningen (langlopend)";"C";5;;
"BLasCol";"0802000";"Converteerbare leningen";"C";3;;
"BLasColCll";"0802010";"Converteerbare leningen (langlopend)";"C";4;;
"BLasColCllBeg";"0802010.01";"Beginbalans converteerbare leningen (langlopend)";"C";5;;
"BLasColCllHoo";"0802010.02";"Hoofdsom converteerbare leningen (langlopend)";"C";5;;
"BLasColCllToe";"0802010.03";"Toename converteerbare leningen (langlopend)";"C";5;;
"BLasColCllAfl";"0802010.04";"Aflossingen converteerbare leningen (langlopend)";"D";5;;
"BLasColCllAvp";"0802010.05";"Aflossingsverplichtingen converteerbare leningen (langlopend)";"C";5;;
"BLasColCllOmv";"0802010.06";"Omrekeningsverschillen converteerbare leningen (langlopend)";"C";5;;
"BLasColCllOvm";"0802010.07";"Overige mutaties converteerbare leningen (langlopend)";"C";5;;
"BLasAoe";"0803000";"Andere obligaties en onderhandse leningen";"C";3;;
"BLasAoeAol";"0803010";"Andere obligaties en onderhandse leningen (langlopend)";"C";4;;
"BLasAoeAolBeg";"0803010.01";"Beginbalans andere obligaties en onderhandse leningen (langlopend)";"C";5;;
"BLasAoeAolHoo";"0803010.02";"Hoofdsom andere obligaties en onderhandse leningen (langlopend)";"C";5;;
"BLasAoeAolToe";"0803010.03";"Toename andere obligaties en onderhandse leningen (langlopend)";"C";5;;
"BLasAoeAolAfl";"0803010.04";"Aflossingen andere obligaties en onderhandse leningen (langlopend)";"D";5;;
"BLasAoeAolAvp";"0803010.05";"Aflossingsverplichtingen andere obligaties en onderhandse leningen (langlopend)";"C";5;;
"BLasAoeAolOmv";"0803010.06";"Omrekeningsverschillen andere obligaties en onderhandse leningen (langlopend)";"C";5;;
"BLasAoeAolOvm";"0803010.07";"Overige mutaties andere obligaties en onderhandse leningen (langlopend)";"C";5;;
"BLasFlv";"0804000";"Financiële lease verplichtingen";"C";3;;
"BLasFlvMlk";"0804010";"Minimale lease betalingen, looptijd korter dan een jaar";"C";4;;
"BLasFlvMlm";"0804020";"Minimale lease betalingen, looptijd langer dan een jaar en korter dan vijf jaar";"C";4;;
"BLasFlvMll";"0804030";"Minimale lease betalingen, looptijd langer dan vijf jaar";"C";4;;
"BLasFlvCwk";"0804040";"Contante waarde, looptijd korter dan een jaar";"C";4;;
"BLasFlvCwm";"0804050";"Contante waarde, looptijd langer dan een jaar en korter dan vijf jaar";"C";4;;
"BLasFlvCwl";"0804060";"Contante waarde, looptijd langer dan vijf jaar";"C";4;;
"BLasFlvVle";"0804070";"Voorwaardelijke lease betalingen";"D";4;;
"BLasFlvTot";"0804080";"Te ontvangen toekomstige minimale sublease betalingen met betrekking tot niet tussentijds opzegbare subleases";"D";4;;
"BLasFlvOrb";"0804090";"Onverdiende rentebaten";"D";4;;
"BLasFlvGrv";"0804100";"Gegarandeerde restwaarde van de leaseobjecten die de lessor economisch toekomen";"C";4;;
"BLasSak";"0805000";"Schulden aan kredietinstellingen";"C";3;;
"BLasSakHvl";"0805010";"Hypotheken van kredietinstellingen (langlopend)";"C";4;;
