"id","sequence","active","description","invoice_label","type_tax_use","name","description@es","description@ca","amount","amount_type","tax_group_id","analytic","l10n_es_type","l10n_es_exempt_reason","l10n_es_bien_inversion","tax_scope","include_base_amount","repartition_line_ids/repartition_type","repartition_line_ids/tag_ids","repartition_line_ids/document_type","repartition_line_ids/account_id","repartition_line_ids/factor_percent","invoice_label@es","children_tax_ids","price_include_override","fiscal_position_ids","original_tax_ids","invoice_legal_notes"
"account_tax_template_s_iva10b","","True","VAT 10% (goods)","","sale","10% G","IVA 10% (Bienes)","IVA 10% (béns)","10.0","percent","tax_group_iva_10","","sujeto","","","consu","","base","mod303[04]","invoice","","","","","","fp_irpf20a,fp_irpf2,fp_irpfnrue19,fp_irpfnrnue0,fp_irpf21,fp_irpf9,fp_recargo_isp,fp_irpf1,fp_irpf7,fp_irpf195a,fp_intra_private,fp_irpf24,fp_irpfnrnue24,fp_irpfnrue0,fp_irpf20,fp_irpf18,fp_irpf15,fp_irpf19,fp_irpf19a,fp_irpf21a,l10n_es_domestic_fiscal_position,fp_recargo","account_tax_template_s_iva10b",""
"","","","","","","","","","","","","","","","","","","tax","mod303[06]","invoice","account_common_477","","","","","","",""
"","","","","","","","","","","","","","","","","","","base","mod303[14_sale]","refund","","","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","mod303[15]","refund","account_common_477","","","","","","",""
"account_tax_template_p_iva0_nd","","True","VAT 21% not deductible","","purchase","21% ND","21% IVA no deducible","21% IVA no deduïble","21.0","percent","tax_group_iva_nd","True","no_deducible","","","","","base","mod390[232]","invoice","","","","","","l10n_es_domestic_fiscal_position,fp_intra_private","",""
"","","","","","","","","","","","","","","","","","","tax","","invoice","","","","","","","",""
"","","","","","","","","","","","","","","","","","","base","mod390[232]","refund","","","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","","refund","","","","","","","",""
"account_tax_template_p_iva10_nd","","True","VAT 10% not deductible","","purchase","10% ND","10% IVA no deducible","10% IVA no deduïble","10.0","percent","tax_group_iva_nd","True","no_deducible","","","","","base","mod390[232]","invoice","","","","","","l10n_es_domestic_fiscal_position,fp_intra_private","",""
"","","","","","","","","","","","","","","","","","","tax","","invoice","","","","","","","",""
"","","","","","","","","","","","","","","","","","","base","mod390[232]","refund","","","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","","refund","","","","","","","",""
"account_tax_template_p_iva7-5_nd","","True","VAT 7.5% not deductible","","purchase","7.5% ND","7,5% IVA no deducible","7,5% IVA no deduïble","7.5","percent","tax_group_iva_nd","True","no_deducible","","","","","base","mod390[232]","invoice","","","","","","l10n_es_domestic_fiscal_position,fp_intra_private","",""
"","","","","","","","","","","","","","","","","","","tax","","invoice","","","","","","","",""
"","","","","","","","","","","","","","","","","","","base","mod390[232]","refund","","","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","","refund","","","","","","","",""
"account_tax_template_p_iva5_nd","","False","VAT 5% not deductible","","purchase","5% ND","5% IVA no deducible","5% IVA no deduïble","5.0","percent","tax_group_iva_nd","True","no_deducible","","","","","base","mod390[232]","invoice","","","","","","l10n_es_domestic_fiscal_position,fp_intra_private","",""
"","","","","","","","","","","","","","","","","","","tax","","invoice","","","","","","","",""
"","","","","","","","","","","","","","","","","","","base","mod390[232]","refund","","","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","","refund","","","","","","","",""
"account_tax_template_p_iva4_nd","","True","VAT 4% not deductible","","purchase","4% ND","4% IVA no deducible","4% IVA no deduïble","4.0","percent","tax_group_iva_nd","True","no_deducible","","","","","base","mod390[232]","invoice","","","","","","l10n_es_domestic_fiscal_position,fp_intra_private","",""
"","","","","","","","","","","","","","","","","","","tax","","invoice","","","","","","","",""
"","","","","","","","","","","","","","","","","","","base","mod390[232]","refund","","","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","","refund","","","","","","","",""
"account_tax_template_p_iva2_nd","","True","VAT 2% not deductible","","purchase","2% ND","2% IVA no deducible","2% IVA no deduïble","2.0","percent","tax_group_iva_nd","True","no_deducible","","","","","base","mod390[232]","invoice","","","","","","l10n_es_domestic_fiscal_position,fp_intra_private","",""
"","","","","","","","","","","","","","","","","","","tax","","invoice","","","","","","","",""
"","","","","","","","","","","","","","","","","","","base","mod390[232]","refund","","","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","","refund","","","","","","","",""
"account_tax_template_s_iva0s","","True","VAT 0% (services)","","sale","0% S","IVA 0% (Servicios)","IVA 0% (serveis)","0.0","percent","tax_group_iva_0","","sujeto","","","service","","base","mod303[150]","invoice","","","","","","l10n_es_domestic_fiscal_position,fp_recargo,fp_intra_private","account_tax_template_s_iva0s",""
"","","","","","","","","","","","","","","","","","","tax","","invoice","","","","","","","",""
"","","","","","","","","","","","","","","","","","","base","mod303[14_sale]","refund","","","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","","refund","","","","","","","",""
"account_tax_template_s_iva0b","","True","VAT 0% (goods)","","sale","0% G","IVA 0% (Bienes)","IVA 0% (béns)","0.0","percent","tax_group_iva_0","","sujeto","","","consu","","base","mod303[150]","invoice","","","","","","l10n_es_domestic_fiscal_position,fp_recargo,fp_intra_private","account_tax_template_s_iva0b",""
"","","","","","","","","","","","","","","","","","","tax","","invoice","","","","","","","",""
"","","","","","","","","","","","","","","","","","","base","mod303[14_sale]","refund","","","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","","refund","","","","","","","",""
"account_tax_template_s_iva2s","","True","VAT 2% (services)","","sale","2% S","IVA 2% (Servicios)","IVA 2% (serveis)","2.0","percent","tax_group_iva_2","","sujeto","","","service","","base","mod303[165]","invoice","","100","","","","l10n_es_domestic_fiscal_position,fp_recargo,fp_intra_private","account_tax_template_s_iva2s",""
"","","","","","","","","","","","","","","","","","","tax","mod303[167]","invoice","account_common_477","100","","","","","",""
"","","","","","","","","","","","","","","","","","","base","mod303[14_sale]","refund","","100","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","mod303[15]","refund","account_common_477","100","","","","","",""
"account_tax_template_s_iva2b","","True","VAT 2% (goods)","","sale","2% G","IVA 2% (Bienes)","IVA 2% (béns)","2.0","percent","tax_group_iva_2","","sujeto","","","consu","","base","mod303[165]","invoice","","","","","","l10n_es_domestic_fiscal_position,fp_recargo,fp_intra_private","account_tax_template_s_iva2b",""
"","","","","","","","","","","","","","","","","","","tax","mod303[167]","invoice","account_common_477","","","","","","",""
"","","","","","","","","","","","","","","","","","","base","mod303[14_sale]","refund","","","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","mod303[15]","refund","account_common_477","","","","","","",""
"account_tax_template_s_iva4s","","True","VAT 4% (services)","","sale","4% S","IVA 4% (Servicios)","IVA 4% (serveis)","4.0","percent","tax_group_iva_4","","sujeto","","","service","","base","mod303[01]","invoice","","","","","","fp_irpf20a,fp_irpf2,fp_irpfnrue19,fp_irpfnrnue0,fp_irpf21,fp_irpf9,fp_recargo_isp,fp_irpf1,fp_irpf7,fp_irpf195a,fp_intra_private,fp_irpf24,fp_irpfnrnue24,fp_irpfnrue0,fp_irpf20,fp_irpf18,fp_irpf15,fp_irpf19,fp_irpf19a,fp_irpf21a,l10n_es_domestic_fiscal_position,fp_recargo","account_tax_template_s_iva4s",""
"","","","","","","","","","","","","","","","","","","tax","mod303[03]","invoice","account_common_477","","","","","","",""
"","","","","","","","","","","","","","","","","","","base","mod303[14_sale]","refund","","","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","mod303[15]","refund","account_common_477","","","","","","",""
"account_tax_template_s_iva5s","","False","VAT 5% (services)","","sale","5% S","IVA 5% (Servicios)","IVA 5% (serveis)","5.0","percent","tax_group_iva_5","","sujeto","","","service","","base","mod303[153]","invoice","","100","","","","l10n_es_domestic_fiscal_position,fp_recargo,fp_intra_private","account_tax_template_s_iva5s",""
"","","","","","","","","","","","","","","","","","","tax","mod303[155]","invoice","account_common_477","100","","","","","",""
"","","","","","","","","","","","","","","","","","","base","mod303[14_sale]","refund","","100","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","mod303[15]","refund","account_common_477","100","","","","","",""
"account_tax_template_s_iva5b","","False","VAT 5% (goods)","","sale","5% G","IVA 5% (Bienes)","IVA 5% (béns)","5.0","percent","tax_group_iva_5","","sujeto","","","consu","","base","mod303[153]","invoice","","","","","","l10n_es_domestic_fiscal_position,fp_recargo,fp_intra_private","account_tax_template_s_iva5b",""
"","","","","","","","","","","","","","","","","","","tax","mod303[155]","invoice","account_common_477","","","","","","",""
"","","","","","","","","","","","","","","","","","","base","mod303[14_sale]","refund","","","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","mod303[15]","refund","account_common_477","","","","","","",""
"account_tax_template_s_iva7-5s","","True","VAT 7.5% (services)","","sale","7.5% S","IVA 7,5% (Servicios)","IVA 7,5% (serveis)","7.5","percent","tax_group_iva_7-5","","sujeto","","","service","","base","mod303[153]||mod390[669]","invoice","","100","","","","l10n_es_domestic_fiscal_position,fp_recargo,fp_intra_private","account_tax_template_s_iva7-5s",""
"","","","","","","","","","","","","","","","","","","tax","mod303[155]||mod390[670]","invoice","account_common_477","100","","","","","",""
"","","","","","","","","","","","","","","","","","","base","mod303[14_sale]||mod390[669]","refund","","100","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","mod303[15]||mod390[670]","refund","account_common_477","100","","","","","",""
"account_tax_template_s_iva7-5b","","True","VAT 7.5% (goods)","","sale","7.5% G","IVA 7,5% (Bienes)","IVA 7,5% (béns)","7.5","percent","tax_group_iva_7-5","","sujeto","","","consu","","base","mod303[153]||mod390[669]","invoice","","","","","","l10n_es_domestic_fiscal_position,fp_recargo,fp_intra_private","account_tax_template_s_iva7-5b",""
"","","","","","","","","","","","","","","","","","","tax","mod303[155]||mod390[670]","invoice","account_common_477","","","","","","",""
"","","","","","","","","","","","","","","","","","","base","mod303[14_sale]||mod390[669]","refund","","","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","mod303[15]||mod390[670]","refund","account_common_477","","","","","","",""
"account_tax_template_s_iva10s","","True","VAT 10% (services)","","sale","10% S","IVA 10% (Servicios)","IVA 10% (serveis)","10.0","percent","tax_group_iva_10","","sujeto","","","service","","base","mod303[04]","invoice","","","","","","fp_irpf20a,fp_irpf2,fp_irpfnrue19,fp_irpfnrnue0,fp_irpf21,fp_irpf9,fp_recargo_isp,fp_irpf1,fp_irpf7,fp_irpf195a,fp_intra_private,fp_irpf24,fp_irpfnrnue24,fp_irpfnrue0,fp_irpf20,fp_irpf18,fp_irpf15,fp_irpf19,fp_irpf19a,fp_irpf21a,l10n_es_domestic_fiscal_position,fp_recargo","account_tax_template_s_iva10s",""
"","","","","","","","","","","","","","","","","","","tax","mod303[06]","invoice","account_common_477","","","","","","",""
"","","","","","","","","","","","","","","","","","","base","mod303[14_sale]","refund","","","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","mod303[15]","refund","account_common_477","","","","","","",""
"account_tax_template_s_req014","","True","1.4% surcharge equivalence sales","1.4% Rec. Eq.","sale","1.4% SE","1,4% Recargo Equivalencia Ventas","1,4% Recàrrec equivalència vendes","1.4","percent","tax_group_recargo_1-4","","recargo","","","","","base","mod303[19]","invoice","","","1.4% Rec. Eq.","","","fp_recargo,fp_recargo_isp","account_tax_template_s_iva10s,account_tax_template_s_iva10b",""
"","","","","","","","","","","","","","","","","","","tax","mod303[21]","invoice","account_common_477","","","","","","",""
"","","","","","","","","","","","","","","","","","","base","mod303[25]","refund","","","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","mod303[26]","refund","account_common_477","","","","","","",""
"account_tax_template_s_req52","","True","5.2% surcharge equivalence sales","5.2% Rec. Eq.","sale","5.2% SE","5,2% Recargo Equivalencia Ventas","5,2% Recàrrec equivalència vendes","5.2","percent","tax_group_recargo_5-2","","recargo","","","","","base","mod303[22]","invoice","","","5.2% Rec. Eq.","","","fp_recargo,fp_recargo_isp","account_tax_template_s_iva21s,account_tax_template_s_iva21b",""
"","","","","","","","","","","","","","","","","","","tax","mod303[24]","invoice","account_common_477","","","","","","",""
"","","","","","","","","","","","","","","","","","","base","mod303[25]","refund","","","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","mod303[26]","refund","account_common_477","","","","","","",""
"account_tax_template_p_iva0_bc","","True","VAT exempt (current operations)","","purchase","0% EXEMPT OP","IVA exento (operaciones corrientes)","IVA Exempt (operacions corrents)","0.0","percent","tax_group_iva_0","","sujeto","","","consu","","base","mod390[230]","invoice","","","","","","fp_irpf20a,fp_irpf2,fp_irpfnrue19,fp_irpfnrnue0,fp_irpf21,fp_irpf9,fp_irpf7,fp_irpf1,fp_irpf195a,fp_intra_private,fp_irpf24,fp_irpfnrnue24,fp_irpfnrue0,fp_irpf20,fp_irpf18,fp_irpf15,fp_irpf19,fp_irpf19a,fp_irpf21a,l10n_es_domestic_fiscal_position","account_tax_template_p_iva0_bc",""
"","","","","","","","","","","","","","","","","","","tax","","invoice","","","","","","","",""
"","","","","","","","","","","","","","","","","","","base","mod390[230]","refund","","","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","","refund","","","","","","","",""
"account_tax_template_p_iva0_ns","","True","VAT not subjected (services)","","purchase","0% S EXEMPT NS ","IVA no sujeto (Servicios)","IVA no sotmès (serveis)","0.0","percent","tax_group_iva_0","","no_sujeto_loc","","","","","base","mod390[232]","invoice","","","","","","fp_not_subject_tai","account_tax_template_p_iva21_sc,account_tax_template_p_iva4_sc,account_tax_template_p_iva10_sc",""
"","","","","","","","","","","","","","","","","","","tax","","invoice","","","","","","","",""
"","","","","","","","","","","","","","","","","","","base","mod390[232]","refund","","","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","","refund","","","","","","","",""
"account_tax_template_p_iva0_ns_b","","True","VAT not subjected (goods)","","purchase","0% G EXEMPT NS","IVA no sujeto (Bienes)","IVA no sotmès (béns)","0.0","percent","tax_group_iva_0","","no_sujeto_loc","","","","","base","mod390[232]","invoice","","","","","","fp_not_subject_tai","account_tax_template_p_iva4_bi,account_tax_template_p_iva21_bi,account_tax_template_p_iva10_bc,account_tax_template_p_iva21_bc,account_tax_template_p_iva4_bc,account_tax_template_p_iva10_bi",""
"","","","","","","","","","","","","","","","","","","tax","","invoice","","","","","","","",""
"","","","","","","","","","","","","","","","","","","base","mod390[232]","refund","","","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","","refund","","","","","","","",""
"account_tax_template_p_iva12_agr","","True","VAT 12% (agriculture)","","purchase","12% agri","12% IVA régimen agricultura","12% IVA règim agricultura","12.0","percent","tax_group_iva_12","","sujeto_agricultura","","","","","base","","invoice","","","","","","fp_reagyp_a","account_tax_template_p_iva0_s_bc,account_tax_template_p_iva2_bc,account_tax_template_p_iva4_bc",""
"","","","","","","","","","","","","","","","","","","tax","mod303[42]","invoice","account_common_472","","","","","","",""
"","","","","","","","","","","","","","","","","","","base","","refund","","","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","mod303[42]","refund","account_common_472","","","","","","",""
"account_tax_template_p_iva105_gan","","True","VAT 10.5% (livestock and fishing)","","purchase","10.5% livestock fishing","10,5% IVA régimen ganadero o pesca","10,5% IVA règim ramader o pesca","10.5","percent","tax_group_iva_10-5","","","","","","","base","","invoice","","","","","","fp_reagyp_gp","account_tax_template_p_iva4_bc",""
"","","","","","","","","","","","","","","","","","","tax","mod303[42]||mod390[60]","invoice","account_common_472","","","","","","",""
"","","","","","","","","","","","","","","","","","1","base","","refund","","","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","mod303[42]||mod390[61]","refund","account_common_472","","","","","","",""
"account_tax_template_p_req014","","True","1.4% surcharge equivalence purchases","","purchase","1.4% SE","1,4% Recargo Equivalencia Compras","1,4% Recàrrec equivalència compres","1.4","percent","tax_group_recargo_1-4","","recargo","","","","","base","mod303[28]","invoice","","","","","","fp_recargo,fp_recargo_isp","account_tax_template_p_iva10_bc,account_tax_template_p_iva10_bi,account_tax_template_p_iva10_sc",""
"","","","","","","","","","","","","","","","","","","tax","mod303[29]","invoice","account_common_472","","","","","","",""
"","","","","","","","","","","","","","","","","","","base","mod303[40]","refund","","","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","mod303[41]","refund","account_common_472","","","","","","",""
"account_tax_template_p_req0","","True","0% surcharge equivalence purchases","","purchase","0% SE","0% Recargo Equivalencia Compras","0% Recàrrec equivalència compres","0.0","percent","tax_group_recargo_0","","recargo","","","","","base","mod303[28]","invoice","","","","","","fp_recargo","account_tax_template_p_iva0_s_bc,account_tax_template_p_iva0_s_sc",""
"","","","","","","","","","","","","","","","","","","tax","","invoice","","","","","","","",""
"","","","","","","","","","","","","","","","","","","base","mod303[40]","refund","","","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","","refund","","","","","","","",""
"account_tax_template_p_req026","","True","0.26% surcharge equivalence purchases","","purchase","0.26% SE","0,26% Recargo Equivalencia Compras","0,26% Recàrrec equivalència compres","0.26","percent","tax_group_recargo_0-26","","recargo","","","","","base","mod303[28]","invoice","","","","","","fp_recargo","account_tax_template_p_iva2_bc,account_tax_template_p_iva2_sc",""
"","","","","","","","","","","","","","","","","","","tax","mod303[29]","invoice","account_common_472","","","","","","",""
"","","","","","","","","","","","","","","","","","","base","mod303[40]","refund","","","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","mod303[41]","refund","account_common_472","","","","","","",""
"account_tax_template_p_req05","","True","0.5% surcharge equivalence purchases","","purchase","0.5% SE","0,5% Recargo Equivalencia Compras","0,5% Recàrrec equivalència compres","0.5","percent","tax_group_recargo_0-5","","recargo","","","","","base","mod303[28]","invoice","","","","","","fp_recargo,fp_recargo_isp","account_tax_template_p_iva4_bi,account_tax_template_p_iva4_sc,account_tax_template_p_iva4_bc",""
"","","","","","","","","","","","","","","","","","","tax","mod303[29]","invoice","account_common_472","","","","","","",""
"","","","","","","","","","","","","","","","","","","base","mod303[40]","refund","","","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","mod303[41]","refund","account_common_472","","","","","","",""
"account_tax_template_p_req062","","False","0.62% surcharge equivalence purchases","","purchase","0.62% SE","0,62% Recargo Equivalencia Compras","0,62% Recàrrec equivalència compres","0.62","percent","tax_group_recargo_0-62","","recargo","","","","","base","mod303[28]","invoice","","","","","","fp_recargo","account_tax_template_p_iva5_sc,account_tax_template_p_iva5_bc",""
"","","","","","","","","","","","","","","","","","","tax","mod303[29]","invoice","account_common_472","","","","","","",""
"","","","","","","","","","","","","","","","","","","base","mod303[40]","refund","","","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","mod303[41]","refund","account_common_472","","","","","","",""
"account_tax_template_p_req1","","True","1% surcharge equivalence purchases","","purchase","1% SE","1% Recargo Equivalencia Compras","1% Recàrrec equivalència compres","1.0","percent","tax_group_recargo_1","","recargo","","","","","base","mod303[28]","invoice","","","","","","fp_recargo","account_tax_template_p_iva7-5_bc,account_tax_template_p_iva7-5_sc",""
"","","","","","","","","","","","","","","","","","","tax","mod303[29]","invoice","account_common_472","","","","","","",""
"","","","","","","","","","","","","","","","","","","base","mod303[40]","refund","","","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","mod303[41]","refund","account_common_472","","","","","","",""
"account_tax_template_p_req52","","True","5.2% surcharge equivalence purchases","","purchase","5.2% SE","5,2% Recargo Equivalencia Compras","5,2% Recàrrec equivalència compres","5.2","percent","tax_group_recargo_5-2","","recargo","","","","","base","mod303[28]","invoice","","","","","","fp_recargo,fp_recargo_isp","account_tax_template_p_iva21_bi,account_tax_template_p_iva21_sc,account_tax_template_p_iva21_bc",""
"","","","","","","","","","","","","","","","","","","tax","mod303[29]","invoice","account_common_472","","","","","","",""
"","","","","","","","","","","","","","","","","","","base","mod303[40]","refund","","","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","mod303[41]","refund","account_common_472","","","","","","",""
"account_tax_template_p_iva10_sp_in","","True","VAT 10% intra-community (services)","","purchase","10% EU S","IVA 10% Adquisición de servicios intracomunitarios","IVA 10% Adquisició de serveis intracomunitaris","10.0","percent","tax_group_iva_10","","sujeto","","","service","","base","mod303[36]||mod303[10]||mod390[547]||mod390[635]","invoice","","","","","","fp_intra","account_tax_template_p_iva10_sc",""
"","","","","","","","","","","","","","","","","","","tax","mod303[37]||mod390[636]","invoice","account_common_472","","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","mod303[11]||mod390[548]","invoice","account_common_477","-100","","","","","",""
"","","","","","","","","","","","","","","","","","","base","mod303[40]||mod303[14_purchase]||mod390[547]||mod390[635]","refund","","","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","mod303[41]||mod390[636]","refund","account_common_472","","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","mod303[15]||mod390[548]","refund","account_common_477","-100","","","","","",""
"account_tax_template_p_iva4_sp_in","","True","VAT 4% intra-community (services)","","purchase","4% EU S","IVA 4% Adquisición de servicios intracomunitarios","IVA 4% Adquisició de serveis intracomunitaris","4.0","percent","tax_group_iva_4","","sujeto","","","service","","base","mod303[36]||mod303[10]||mod390[545]||mod390[587]","invoice","","","","","","fp_intra","account_tax_template_p_iva4_sc",""
"","","","","","","","","","","","","","","","","","","tax","mod303[37]||mod390[588]","invoice","account_common_472","","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","mod303[11]||mod390[546]","invoice","account_common_477","-100","","","","","",""
"","","","","","","","","","","","","","","","","","","base","mod303[40]||mod303[14_purchase]||mod390[545]||mod390[587]","refund","","","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","mod303[41]||mod390[588]","refund","account_common_472","","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","mod303[15]||mod390[546]","refund","account_common_477","-100","","","","","",""
"account_tax_template_s_iva0_isp","","True","VAT 0% ISP","VAT 0% ISP","sale","0% RC","IVA 0% Venta con Inversión del Sujeto Pasivo","IVA 0% Venta con inversió del subjecte passiu","0.0","percent","tax_group_iva_0","","sujeto_isp","","","","","base","mod303[122]","invoice","","","IVA 0% ISP","","","fp_ispn","account_tax_template_s_iva21b,account_tax_template_s_iva4s,account_tax_template_s_iva4b,account_tax_template_s_iva21s,account_tax_template_s_iva10s,account_tax_template_s_iva10b",""
"","","","","","","","","","","","","","","","","","","tax","","invoice","","","","","","","",""
"","","","","","","","","","","","","","","","","","","base","mod303[122]","refund","","","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","","refund","","","","","","","",""
"account_tax_template_p_iva4_isp","","True","VAT 4% purchase reverse charge","","purchase","4% RC","IVA 4% Compra con Inversión del Sujeto Pasivo Nacional","IVA 4% Compra con inversió del subjecte passiu nacional","4.0","percent","tax_group_iva_4","","sujeto_isp","","","","","base","mod303[28]||mod303[12]||mod390[190]","invoice","","","","","","fp_ispn","account_tax_template_p_iva4_sc,account_tax_template_p_iva4_bc",""
"","","","","","","","","","","","","","","","","","","tax","mod303[29]||mod390[191]","invoice","account_common_472","","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","mod303[13]","invoice","account_common_477","-100","","","","","",""
"","","","","","","","","","","","","","","","","","","base","mod303[40]||mod303[14_purchase]||mod390[190]","refund","","","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","mod303[41]||mod390[191]","refund","account_common_472","","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","mod303[15]","refund","account_common_477","-100","","","","","",""
"account_tax_template_p_iva10_isp","","True","VAT 10% purchase reverse charge","","purchase","10% RC","IVA 10% Compra con Inversión del Sujeto Pasivo Nacional","IVA 10% Compra con inversió del subjecte passiu nacional","10.0","percent","tax_group_iva_10","","sujeto_isp","","","","","base","mod303[28]||mod303[12]||mod390[603]","invoice","","","","","","fp_ispn","account_tax_template_p_iva10_bc,account_tax_template_p_iva10_sc",""
"","","","","","","","","","","","","","","","","","","tax","mod303[29]||mod390[604]","invoice","account_common_472","","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","mod303[13]","invoice","account_common_477","-100","","","","","",""
"","","","","","","","","","","","","","","","","","","base","mod303[40]||mod303[14_purchase]||mod390[603]","refund","","","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","mod303[41]||mod390[604]","refund","account_common_472","","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","mod303[15]","refund","account_common_477","-100","","","","","",""
"account_tax_template_p_iva21_isp","","True","VAT 21% purchase reverse charge","","purchase","21% RC","IVA 21% Compra con Inversión del Sujeto Pasivo Nacional","IVA 21% Compra con inversió del subjecte passiu nacional","21.0","percent","tax_group_iva_21","","sujeto_isp","","","","","base","mod303[28]||mod303[12]||mod390[605]","invoice","","","","","","fp_ispn","account_tax_template_p_iva21_sc,account_tax_template_p_iva21_bc",""
"","","","","","","","","","","","","","","","","","","tax","mod303[29]||mod390[606]","invoice","account_common_472","","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","mod303[13]","invoice","account_common_477","-100","","","","","",""
"","","","","","","","","","","","","","","","","","","base","mod303[40]||mod303[14_purchase]||mod390[605]","refund","","","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","mod303[41]||mod390[606]","refund","account_common_472","","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","mod303[15]","refund","account_common_477","-100","","","","","",""
"account_tax_template_p_iva4_isp_bi","","True","VAT 4% reverse charge (investment goods)","","purchase","4% IG RC","IVA 4% ISP (bienes de inversión)","IVA 4% ISP (béns d'inversió)","4.0","percent","tax_group_iva_4","","sujeto_isp","","True","consu","","base","mod303[30]||mod303[12]||mod390[196]","invoice","","100","","","","fp_ispn","account_tax_template_p_iva4_bi",""
"","","","","","","","","","","","","","","","","","","tax","mod303[31]||mod390[197]","invoice","account_common_472","100","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","mod303[13]","invoice","account_common_477","-100","","","","","",""
"","","","","","","","","","","","","","","","","","","base","mod303[40]||mod303[14_purchase]||mod390[196]","refund","","100","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","mod303[41]||mod390[197]","refund","account_common_472","100","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","mod303[15]","refund","account_common_477","-100","","","","","",""
"account_tax_template_p_iva10_isp_bi","","True","VAT 10% reverse charge (investment goods)","","purchase","10% IG RC","IVA 10% ISP (bienes de inversión)","IVA 10% ISP (béns d'inversió)","10.0","percent","tax_group_iva_10","","sujeto_isp","","True","consu","","base","mod303[30]||mod303[12]||mod390[611]","invoice","","100","","","","fp_ispn","account_tax_template_p_iva10_bi",""
"","","","","","","","","","","","","","","","","","","tax","mod303[31]||mod390[612]","invoice","account_common_472","100","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","mod303[13]","invoice","account_common_477","-100","","","","","",""
"","","","","","","","","","","","","","","","","","","base","mod303[40]||mod303[14_purchase]||mod390[611]","refund","","100","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","mod303[41]||mod390[612]","refund","account_common_472","100","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","mod303[15]","refund","account_common_477","-100","","","","","",""
"account_tax_template_p_iva21_isp_bi","","True","VAT 21% reverse charge (investment goods)","","purchase","21% IG RC","IVA 21% ISP (bienes de inversión)","IVA 21% ISP (béns d'inversió)","21.0","percent","tax_group_iva_21","","sujeto_isp","","True","consu","","base","mod303[30]||mod303[12]||mod390[613]","invoice","","100","","","","fp_ispn","account_tax_template_p_iva21_bi",""
"","","","","","","","","","","","","","","","","","","tax","mod303[31]||mod390[614]","invoice","account_common_472","100","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","mod303[13]","invoice","account_common_477","-100","","","","","",""
"","","","","","","","","","","","","","","","","","","base","mod303[40]||mod303[14_purchase]||mod390[613]","refund","","100","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","mod303[41]||mod390[614]","refund","account_common_472","100","","","","","",""
