id,code,description,depreciation_min,depreciation_max
l10n_ro_saft_2_4_1_2,2.4.1.2,Working oxen and buffaloes; dairy cows and breeding bulls.,5,9
l10n_ro_saft_2_4_1_3,2.4.1.3,"Sheep, goats and pigs for breeding.",4,6
l10n_ro_saft_2_4_1_4,2.4.1.4,Breeding birds.,2,4
l10n_ro_saft_2_4_1_5,2.4.1.5,Guard and hunting dogs,4,8
l10n_ro_saft_2_4_1_6,2.4.1.6,Other animals not included in class 2.4.1.,4,6
l10n_ro_saft_2_4_2_1,2.4.2.1,"Plantations of apples, pears, plums, quinces, mulberries, almonds, chestnuts",16,24
l10n_ro_saft_2_4_2_2,2.4.2.2,"Cherry, burgundy, peach, hazelnut and apricot plantations",9,15
l10n_ro_saft_2_4_2_3,2.4.2.3,Walnut plantations,24,36
l10n_ro_saft_2_4_2_4,2.4.2.4,"Plantations of gooseberries, currants and sweet roses",6,10
l10n_ro_saft_2_4_2_5,2.4.2.5,"Raspberry plantations and other shrubs and subshrubs (blackberries, strawberries, etc.).",4,6
l10n_ro_saft_2_4_2_6_1,2.4.2.6.1,- grafted vines (noble) and living rootstocks.,16,24
l10n_ro_saft_2_4_2_6_2,2.4.2.6.2,"- indigenous vines, hybrid vines, direct producers.",12,18
l10n_ro_saft_2_4_2_7,2.4.2.7,Hop plantations.,13,21
l10n_ro_saft_2_4_2_8_1,2.4.2.8.1,- deciduous and resinous.,50,70
l10n_ro_saft_2_4_2_8_2,2.4.2.8.2,"- poplars, acacias and willows.",24,36
l10n_ro_saft_2_4_2_9,2.4.2.9,The rickets.,5,9
l10n_ro_saft_2_4_2_10,2.4.2.10,Other plantations not found in class 2.4.2.,16,24
l10n_ro_saft_3_1_1,3.1.1,"Furniture (including commercial and hotel furniture), except for:",9,15
l10n_ro_saft_3_1_1_1,3.1.1.1,- commercial presentation furniture made of wood and plastic with a light metal structure.,3,5
l10n_ro_saft_3_1_2,3.1.2,"Companies, billboards and illuminated advertisements.",2,4
l10n_ro_saft_3_1_3,3.1.3,"Paintings, engravings, interior decorations, apart from those registered in the national cultural heritage.",8,12
l10n_ro_saft_3_1_4,3.1.4,"Household inventory: tableware made of precious metals, carpets, mirrors, chandeliers, etc.",8,12
l10n_ro_saft_3_1_5,3.1.5,"Appliances; radio receivers, televisions, video equipment, washing machines, dishwashers, refrigerators, vacuum cleaners, etc.",4,6
l10n_ro_saft_3_1_6,3.1.6,Other furniture not found in group 3.1.,6,10
l10n_ro_saft_3_2_1,3.2.1,"Typewriters, franking machines, dictating and reproducing machines, drawing machines, heliographs, duplicating and multiplying machines, projection machines, microfilm reading machines, etc.",4,6
l10n_ro_saft_3_2_2,3.2.2,"Telecommunications devices for the office: telephones, fax machines, telex machines, radio command installations, pagers, etc.",3,5
l10n_ro_saft_3_2_3,3.2.3,Machines for counting and identifying money.,2,4
l10n_ro_saft_3_2_4,3.2.4,Other office equipment not found in subgroup 3.2.,3,5
l10n_ro_saft_3_3_1,3.3.1,"Mechanical protection equipment - grills, grills, armored doors, security doors, windows and security panels (anti-burglary, anti-vandal, anti-bullet).",16,24
l10n_ro_saft_3_3_2,3.3.2,"Value storage units and data carriers (cash boxes, safes, fireproof cabinets, etc.).",16,24
l10n_ro_saft_3_3_3,3.3.3,"Automated teller machines, ATMs.",8,12
l10n_ro_saft_3_3_4,3.3.4,"Fire protection systems (detection and actuation elements, signaling and actuation centers, etc.).",12,18
l10n_ro_saft_3_3_5,3.3.5,"Systems for identification and access control, surveillance and burglar alarm.",8,12
l10n_ro_saft_3_3_6,3.3.6,Other systems for the protection of human and material values not found in subgroup 3.3.,12,18
l10n_ro_saft_3_4,3.4,Other tangible assets not found in those specified in group 3.,8,15
l10n_ro_saft_8_8,8.8,Lands,0,0
l10n_ro_saft_9_9_1,9.9.1,Establishment expenses,0,0
l10n_ro_saft_9_9_2,9.9.2,Development expenses,0,0
l10n_ro_saft_9_9_3,9.9.3,"Concessions, patents, licenses, trademarks, rights and similar assets and other intangible assets",0,0
l10n_ro_saft_9_9_4,9.9.4,Commercial fund,0,0
l10n_ro_saft_9_9_5,9.9.5,Intangible assets for the exploration and evaluation of mineral resources,0,0
l10n_ro_saft_9_9_6,9.9.6,Other intangible assets,0,0
